1614084300000,47686.24000000,49455.53000000,47672.46000000,48670.21000000,4026.13456200,1614085199999,196268515.85235901,81047,2073.75701500,101062794.85729376,0
1614085200000,48670.54000000,49322.38000000,48338.99000000,49264.95000000,2281.04646200,1614086099999,111293697.65074852,51767,1161.45442400,56678002.88591806,0
1614086100000,49254.07000000,49600.00000000,48472.25000000,48680.01000000,2463.05989600,1614086999999,120573047.78694520,49457,1211.49016100,59313778.05253755,0
1614087000000,48680.02000000,49000.00000000,48032.17000000,48122.79000000,1647.43323500,1614087899999,79999755.17052867,36161,892.66292000,43361901.63871538,0
1614087900000,48125.43000000,49128.57000000,48123.96000000,48750.00000000,1350.04981900,1614088799999,65747578.50984519,34881,757.53484700,36901037.97929406,0
1614088800000,48754.47000000,49141.89000000,48650.05000000,48915.53000000,1055.14777100,1614089699999,51627067.31862262,30625,550.66401600,26945916.90170017,0
1614089700000,48910.22000000,48931.52000000,48411.95000000,48489.87000000,958.10186900,1614090599999,46663559.03213367,30797,489.55183800,23842487.31790600,0
1614090600000,48489.87000000,48692.88000000,46614.14000000,46667.72000000,2304.33148900,1614091499999,109449856.20413668,58970,1027.17940400,48807134.18695450,0
1614091500000,46667.72000000,47345.67000000,45838.84000000,46978.18000000,3287.96012200,1614092399999,153128681.15380097,71338,1565.24158600,72937037.62306813,0
1614092400000,46977.89000000,48500.00000000,46635.00000000,47920.60000000,2943.08525300,1614093299999,140594954.00927321,63903,1482.48707400,70839997.34292348,0
1614093300000,47914.29000000,48811.00000000,47590.45000000,48615.10000000,1777.02772800,1614094199999,85979504.30376885,41255,911.34646900,44123584.32735272,0
1614094200000,48609.54000000,49086.90000000,48057.72000000,48949.62000000,1558.57763900,1614095099999,75844917.50678523,38825,857.69066300,41750781.17221174,0
1614095100000,48949.62000000,49350.00000000,48269.01000000,48602.03000000,1614.87440000,1614095999999,78940434.55824552,42273,874.35007600,42762129.65727299,0
1614096000000,48602.02000000,49247.69000000,48252.04000000,48530.37000000,1692.32699400,1614096899999,82446470.64520713,38294,876.99425300,42757966.99166179,0
1614096900000,48530.84000000,48732.83000000,47576.29000000,48185.95000000,1550.35306000,1614097799999,74379820.93198720,34098,704.06017500,33774578.24673865,0
1614097800000,48194.59000000,48485.28000000,47300.00000000,47429.07000000,1433.92586300,1614098699999,68606606.49628763,30342,617.34404300,29559502.62832858,0
1614098700000,47428.01000000,47950.54000000,47230.01000000,47365.61000000,1113.34909100,1614099599999,52890880.49889324,24719,482.82180200,22944528.34344707,0
1614099600000,47361.41000000,47861.08000000,46888.00000000,46952.38000000,1092.59991900,1614100499999,51669483.94915179,28001,502.37221700,23766253.74171377,0
1614100500000,46954.15000000,47918.99000000,46888.00000000,47834.83000000,830.67014600,1614101399999,39472341.03256883,21924,460.53348900,21885488.66665505,0
1614101400000,47834.83000000,48197.74000000,47194.77000000,47309.43000000,803.47821900,1614102299999,38381015.80550147,22060,395.68048100,18894807.07920682,0
1614102300000,47302.32000000,47500.03000000,46950.00000000,47175.27000000,814.95330100,1614103199999,38479708.68717335,22062,399.76929500,18880136.98652440,0
1614103200000,47163.74000000,47520.00000000,46511.00000000,46525.06000000,1086.55599500,1614104099999,51030205.48668268,26977,477.32367000,22437566.52275960,0
1614104100000,46517.30000000,47465.46000000,46501.34000000,47313.23000000,1009.88066600,1614104999999,47379094.24890738,25866,512.41000400,24051395.52203006,0
1614105000000,47321.60000000,47777.00000000,47242.29000000,47507.11000000,831.83100100,1614105899999,39540506.10362953,23185,460.63325300,21900347.21359601,0
1614105900000,47507.12000000,47736.80000000,46712.51000000,46881.49000000,839.48495600,1614106799999,39649476.30878346,24073,392.30798400,18546693.56664305,0
1614106800000,46872.77000000,47291.03000000,46700.00000000,47057.34000000,729.75382400,1614107699999,34283700.83225878,18831,364.47599400,17127011.21906717,0
1614107700000,47058.36000000,47070.08000000,46501.01000000,46913.78000000,873.56879900,1614108599999,40832234.57414133,22843,397.13951600,18568243.03273218,0
1614108600000,46899.85000000,46899.85000000,45500.00000000,45668.94000000,1889.02604400,1614109499999,87112820.38625161,44830,744.90178500,34368203.77140786,0
1614109500000,45657.03000000,46264.29000000,45501.00000000,45523.00000000,1353.60024600,1614110399999,62052616.04913025,34348,702.84022400,32229913.26539825,0
1614110400000,45523.02000000,46600.00000000,45251.00000000,45866.17000000,1603.92041700,1614111299999,73728924.32834985,37967,732.49944500,33711151.42920278,0
1614111300000,45883.49000000,46935.86000000,45684.66000000,46871.85000000,988.55757300,1614112199999,45879744.47837061,25928,554.26360700,25732322.08621835,0
1614112200000,46871.85000000,47479.97000000,46760.09000000,47269.48000000,1179.37457800,1614113099999,55677797.44118613,26103,588.30381100,27774816.57293261,0
1614113100000,47264.16000000,47820.00000000,47112.38000000,47814.50000000,947.58153100,1614113999999,45016924.44476555,23737,554.22344500,26341552.70159390,0
1614114000000,47812.80000000,48450.00000000,47400.70000000,47941.48000000,1546.19762400,1614114899999,74228242.93318895,35782,829.66930800,39830169.05553489,0
1614114900000,47958.63000000,48378.99000000,47841.73000000,48045.96000000,1158.64017200,1614115799999,55704596.99930624,22261,753.39388200,36228820.56197813,0
1614115800000,48054.59000000,48474.31000000,47691.70000000,48418.26000000,833.99867200,1614116699999,40201228.44537654,19424,542.89166900,26189194.78719063,0
1614116700000,48411.00000000,48441.81000000,47748.44000000,47937.33000000,698.79492800,1614117599999,33615211.55212193,17550,342.54045400,16481136.83882161,0
